Rank,Team Name,Captain Name,Email,Location Points,Stage,Check In,Check Out,Time,Penality,Points,Remarks,Review
1,team6,,team6@test.com,66174,,,,,,,,
,,,,,stage1,Mon Mar 25 2024 03:49:59 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 03:50:13 GMT+0500 (Pakistan Standard Time),169,NO,20787,,
,,,,,stage2,Mon Mar 25 2024 03:50:18 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 03:50:29 GMT+0500 (Pakistan Standard Time),231,NO,28413,,
,,,,,stage3,Mon Mar 25 2024 03:50:37 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 03:50:48 GMT+0500 (Pakistan Standard Time),138,NO,16974,,
2,team5,,team5@test.com,60486,,,,,,,,
,,,,,stage1,Mon Mar 25 2024 03:40:46 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 03:41:01 GMT+0500 (Pakistan Standard Time),129,YES,15857,,
,,,,,stage2,Mon Mar 25 2024 03:41:11 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 03:41:25 GMT+0500 (Pakistan Standard Time),224,YES,27542,,
,,,,,stage3,Mon Mar 25 2024 03:41:29 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 03:41:42 GMT+0500 (Pakistan Standard Time),139,YES,17087,,
3,team3,,team3@test.com,58056,,,,,,,,
,,,,,stage1,Mon Mar 25 2024 02:25:09 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 02:26:08 GMT+0500 (Pakistan Standard Time),130,NO,15990,,
,,,,,stage2,Mon Mar 25 2024 02:26:42 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 02:26:55 GMT+0500 (Pakistan Standard Time),202,NO,24846,,
,,,,,stage3,Mon Mar 25 2024 02:27:02 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 02:27:40 GMT+0500 (Pakistan Standard Time),140,NO,17220,,
4,team4,,team4@test.com,55443,,,,,,,,
,,,,,stage1,Mon Mar 25 2024 03:30:00 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 03:30:50 GMT+0500 (Pakistan Standard Time),119,NO,14627,,
,,,,,stage2,Mon Mar 25 2024 03:31:12 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 03:31:40 GMT+0500 (Pakistan Standard Time),202,NO,24836,,
,,,,,stage3,Mon Mar 25 2024 03:31:55 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 03:32:09 GMT+0500 (Pakistan Standard Time),130,NO,15980,,
5,team1,,m.rehmanfullstack@gmail.com,52890,,,,,,,,
,,,,,stage1,Mon Mar 25 2024 01:58:39 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 01:59:12 GMT+0500 (Pakistan Standard Time),148,NO,18204,,
,,,,,stage2,Mon Mar 25 2024 02:13:08 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 02:14:20 GMT+0500 (Pakistan Standard Time),167,NO,20541,,
,,,,,stage3,Mon Mar 25 2024 02:14:33 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 02:14:58 GMT+0500 (Pakistan Standard Time),115,NO,14145,,
6,team2,,team2@test.com,50799,,,,,,,,
,,,,,stage1,Mon Mar 25 2024 02:18:53 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 02:20:09 GMT+0500 (Pakistan Standard Time),101,NO,12423,,
,,,,,stage2,Mon Mar 25 2024 02:20:41 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 02:21:02 GMT+0500 (Pakistan Standard Time),202,NO,24846,,
,,,,,stage3,Mon Mar 25 2024 02:21:39 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 02:21:51 GMT+0500 (Pakistan Standard Time),110,NO,13530,,
7,team7,,team7@test.com,21269,,,,,,,,
,,,,,stage1,Mon Mar 25 2024 03:54:15 GMT+0500 (Pakistan Standard Time),Mon Mar 25 2024 03:55:04 GMT+0500 (Pakistan Standard Time),173,YES,21269,,
